,title,price,year,link,brand,age,log_price,log_age
0,2008 subaru impreza,2000,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-subaru-impreza/7787924583.html,subaru,17.0,7.600902459542082,2.833213344056216
1,2018 tesla model 3 mid range or 2018 tesla model s75d awd,16900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-mid-range-or/7787917504.html,tesla,7.0,9.735068900911164,1.9459101490553132
2,2010 lexus is250c convertible,14950,2010.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2010-lexus-is250c/7787904942.html,lexus,15.0,9.612466578818832,2.70805020110221
3,2010 chevy malibu 4-door,800,2010.0,https://charlottesville.craigslist.org/cto/d/palmyra-2010-chevy-malibu-door/7787579204.html,chevy,15.0,6.684611727667927,2.70805020110221
4,bmw x5,8500,,https://charlottesville.craigslist.org/cto/d/waynesboro-bmw-x5/7787579073.html,bmw,,9.047821442478408,
5,bmw z3,5900,,https://charlottesville.craigslist.org/cto/d/staunton-bmw-z3/7787567192.html,bmw,,8.68270762989381,
6,1998 toyota camery,1500,1998.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1998-toyota-camery/7787566957.html,toyota,27.0,7.313220387090301,3.295836866004329
7,military m35,2700,,https://charlottesville.craigslist.org/cto/d/free-union-military-m35/7787336357.html,missing,,7.90100705199242,
8,2010 e550 mercedes sedan,7650,2010.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2010-e550-mercedes-sedan/7787286459.html,missing,15.0,8.942460926820582,2.70805020110221
9,dodge 4x4,3700,,https://charlottesville.craigslist.org/cto/d/banco-dodge-4x4/7787130319.html,dodge,,8.216088098632316,
10,buick,4000,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7787002324.html,buick,,8.294049640102028,
11,2000 chevy blazer,1000,2000.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2000-chevy-blazer/7787001176.html,chevy,25.0,6.907755278982137,3.2188758248682006
12,affordable car works well,1950,,https://charlottesville.craigslist.org/cto/d/scottsville-affordable-car-works-well/7786935849.html,missing,,7.575584651557793,
13,1998 chevy pickup,2500,1998.0,https://charlottesville.craigslist.org/cto/d/scottsville-1998-chevy-pickup/7786804053.html,chevy,27.0,7.824046010856292,3.295836866004329
14,2004 chevy blazer,4000,2004.0,https://charlottesville.craigslist.org/cto/d/scottsville-2004-chevy-blazer/7786802056.html,chevy,21.0,8.294049640102028,3.044522437723423
15,2007 mercedes benz c280 or 2005 benz e500 4matic $3950,4950,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-mercedes-benz-c280-or-2005/7786722300.html,missing,18.0,8.507142855562735,2.8903717578961645
16,2005 nissan maxima se,3500,2005.0,https://charlottesville.craigslist.org/cto/d/dillwyn-2005-nissan-maxima-se/7786586063.html,missing,20.0,8.160518247477505,2.995732273553991
17,2012 subaru impreza 2.0i premium sedan 4d,7400,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-subaru-impreza-20i/7786582182.html,subaru,13.0,8.909235279192261,2.5649493574615367
18,2008 chevrolet silverado,6000,2008.0,https://charlottesville.craigslist.org/cto/d/stuarts-draft-2008-chevrolet-silverado/7786493479.html,chevrolet,17.0,8.699514748210191,2.833213344056216
19,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7786413068.html,honda,13.0,8.68270762989381,2.5649493574615367
20,f-350 6.0 diesel service body,13000,,https://charlottesville.craigslist.org/cto/d/charlottesville-diesel-service-body/7786360711.html,missing,,9.472704636443673,
21,2007 honda element ex,8500,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-honda-element-ex/7786323697.html,honda,18.0,9.047821442478408,2.8903717578961645
22,85 short bed chevy,10,,https://charlottesville.craigslist.org/cto/d/earlysville-85-short-bed-chevy/7786302799.html,chevy,,2.302585092994046,
23,2004 audi a6 2.7t s-line quatro sedan 4d,1200,2004.0,https://charlottesville.craigslist.org/cto/d/scottsville-2004-audi-a6-27t-line/7786238457.html,audi,21.0,7.090076835776092,3.044522437723423
24,"2001 ford 250, 7.3 diesel, 4 x  4 ,with storage bin cap",10900,2001.0,https://charlottesville.craigslist.org/cto/d/pratts-2001-ford-diesel-x-with-storage/7786230476.html,ford,24.0,9.296518068217235,3.1780538303479458
25,1989 chevrolet silverado 4x4,17500,1989.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1989-chevrolet/7786188892.html,chevrolet,36.0,9.769956159911606,3.58351893845611
26,affordable car works well,1950,,https://charlottesville.craigslist.org/cto/d/scottsville-affordable-car-works-well/7786056040.html,missing,,7.575584651557793,
27,2010 jaguar xk,21900,2010.0,https://charlottesville.craigslist.org/cto/d/boston-2010-jaguar-xk/7785824836.html,missing,15.0,9.994241915804592,2.70805020110221
28,2015 honda odyssey ex,9950,2015.0,https://charlottesville.craigslist.org/cto/d/henrico-2015-honda-odyssey-ex/7785813701.html,honda,10.0,9.205327830152639,2.302585092994046
29,2005 hyundai elantra,1200,2005.0,https://charlottesville.craigslist.org/cto/d/afton-2005-hyundai-elantra/7785683810.html,missing,20.0,7.090076835776092,2.995732273553991
30,2007 f250 king ranch,17500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2007-f250-king-ranch/7785680751.html,missing,18.0,9.769956159911606,2.8903717578961645
31,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6250,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7785561584.html,gmc,27.0,8.740336742730447,3.295836866004329
32,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7785499961.html,honda,19.0,8.45531778769815,2.9444389791664403
33,2015 gmc terrain - good condition,3500,2015.0,https://charlottesville.craigslist.org/cto/d/keswick-2015-gmc-terrain-good-condition/7785267240.html,gmc,10.0,8.160518247477505,2.302585092994046
34,buick,4500,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7785078444.html,buick,,8.411832675758411,
35,jeep wrangler,12500,,https://charlottesville.craigslist.org/cto/d/waynesboro-jeep-wrangler/7785014681.html,jeep,,9.433483923290392,
36,2007 toyota camry v6 xle,4100,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-toyota-camry-v6-xle/7785001447.html,toyota,18.0,8.318742252692399,2.8903717578961645
37,1994 chevy s10,4000,1994.0,https://charlottesville.craigslist.org/cto/d/palmyra-1994-chevy-s10/7784965289.html,chevy,31.0,8.294049640102028,3.4339872044851463
38,toyota 4runner,3500,,https://charlottesville.craigslist.org/cto/d/quinque-toyota-4runner/7784875544.html,toyota,,8.160518247477505,
39,1962 m38-a1 military jeep,1500,1962.0,https://charlottesville.craigslist.org/cto/d/scottsville-1962-m38-a1-military-jeep/7784860520.html,jeep,63.0,7.313220387090301,4.143134726391533
40,2010 avalanche,5500,2010.0,https://charlottesville.craigslist.org/cto/d/mineral-2010-avalanche/7784792017.html,missing,15.0,8.612503371220562,2.70805020110221
41,dodge m37 powerwagon,7000,,https://charlottesville.craigslist.org/cto/d/piney-river-dodge-m37-powerwagon/7784758445.html,dodge,,8.85366542803745,
42,"2018 toyota tacoma truck sr5 4wd double cab, 6 cyl, auto, 30,000 miles",30550,2018.0,https://charlottesville.craigslist.org/cto/d/louisa-2018-toyota-tacoma-truck-sr5-4wd/7784680777.html,toyota,7.0,10.327119964599742,1.9459101490553132
43,2003 toyota highlander,3300,2003.0,https://charlottesville.craigslist.org/cto/d/lovingston-2003-toyota-highlander/7784607564.html,toyota,22.0,8.101677747454572,3.091042453358316
44,2011 chrysler town and country,2500,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-chrysler-town-and/7784233445.html,missing,14.0,7.824046010856292,2.6390573296152584
